x,y,Name,Team,Age
-4.990028733767706,4.944604577918287,LOUI ERIKSSON,Boston Bruins,28.0
2.9567235770684763,-0.17105836156035506,LOUI ERIKSSON,Boston Bruins,29.0
-1.4482634860773254,6.023703354246256,LOUI ERIKSSON,Boston Bruins,30.0
4.35061236088572,0.1267243307310483,KRISTIAN HUSELIUS,Florida Panthers,23.0
5.013528047468424,0.713349878258515,KRISTIAN HUSELIUS,Florida Panthers,24.0
5.446591471110672,2.2996513670134706,KRISTIAN HUSELIUS,Florida Panthers,25.0
8.518081192471527,-1.7481682981848525,KRISTIAN HUSELIUS,Florida Panthers,27.0
-5.512161215094656,2.2797572842482556,KRISTIAN HUSELIUS,Calgary Flames,27.0
-9.873353725420658,0.11928337217968764,KRISTIAN HUSELIUS,Calgary Flames,28.0
0.5342677284702703,-1.1425026758738845,KRISTIAN HUSELIUS,Calgary Flames,29.0
-1.3515844572732922,5.784139254403795,KRISTIAN HUSELIUS,Columbus Blue Jackets,30.0
-3.4305102448777665,3.5950407448018327,KRISTIAN HUSELIUS,Columbus Blue Jackets,31.0
-0.12664620460620898,-2.8744507654418103,KRISTIAN HUSELIUS,Columbus Blue Jackets,32.0
2.7127310664764344,4.00010730523034,ULF DAHLEN,Washington Capitals,32.0
-0.18775965739694717,4.941194141546365,ULF DAHLEN,Washington Capitals,33.0
-4.2049465943004,-0.29086012792377447,ULF DAHLEN,Washington Capitals,34.0
-4.275236447274719,5.041717444461078,ULF DAHLEN,Dallas Stars,35.0
3.17464670859838,-9.907745055121778,MICHAEL NYLANDER,Tampa Bay Lightning,27.0
-4.723995212252127,-0.8249061340012218,MICHAEL NYLANDER,Chicago Blackhawks,27.0
0.7013052353072485,-1.198076860339256,MICHAEL NYLANDER,Chicago Blackhawks,28.0
-10.564175882590597,0.30312369265212036,MICHAEL NYLANDER,Chicago Blackhawks,29.0
9.476793465342885,-4.092764115157776,MICHAEL NYLANDER,Chicago Blackhawks,30.0
-5.674549066729852,0.6283061303849197,MICHAEL NYLANDER,Washington Capitals,30.0
8.431722038723974,-6.164657906275558,MICHAEL NYLANDER,Washington Capitals,31.0
0.749764909913231,9.196971358769668,MICHAEL NYLANDER,Boston Bruins,31.0
7.769565778260502,1.7290100391351122,MICHAEL NYLANDER,New York Rangers,33.0
7.729058381622435,1.74633895301287,MICHAEL NYLANDER,New York Rangers,34.0
-0.4598048143726559,-1.3672093290291234,MICHAEL NYLANDER,Washington Capitals,35.0
1.3784750779978794,5.116381742204103,MICHAEL NYLANDER,Washington Capitals,36.0
6.885445537824285,0.4590020957769113,P.J. AXELSSON,Boston Bruins,24.0
8.333578421729602,3.6705761870931415,P.J. AXELSSON,Boston Bruins,25.0
4.4479032779114585,2.996285347279398,P.J. AXELSSON,Boston Bruins,26.0
-4.378056592812863,-2.870830093618215,P.J. AXELSSON,Boston Bruins,27.0
